State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Haryana,8.8,3062,50,92,376,825,26,0,721,88,122,402,31,1.6,1837.2,17,0
Haryana,8.45,2821,30,123,456,673,0.5,0,880,116,143,274,4,0.72,1692.6,14,0
Haryana,7.81,8498,0,276,1677,1540,129,0,2882,272,535,597,57,0.14,5098.8,20,0
Haryana,8.83,1985,30,164,383,309,13,0,540,48,102,219,12,1.6,1191,19,0
Haryana,8.16,2733,0,226,600,307,119,0,1100,140,182,129,48,0.46,1639.8,25,0
Haryana,8.93,558,20,92,43,166,1.7,0,220,36,31,59,2.4,0.4,334.8,17,1
Haryana,8.2,886,0,113,174,109,22,0,380,68,51,44,3.5,0.33,531.6,40,1
Haryana,8.43,3086,40,328,651,332,32,0,761,68,143,369,24,0.35,1851.6,31,0
Haryana,8.49,1050,30,143,159,152,4.4,0,300,24,58,114,18,1.7,630,17,0
Haryana,8.41,1380,20,103,87,443,20,0,520,80,78,97,1.2,1.1,828,23,0
Haryana,8.64,2897,81,379,579,201,13,0,470,24,100,453,27,5.71,1738.2,19,0
Haryana,8.27,2198,0,92,579,204,38,0,951,196,112,49,67,0.23,1318.8,16,0
Haryana,8.67,1841,71,328,333,111,16,0,320,20,66,296,12,0.71,1104.6,21,0
Haryana,8.01,2030,0,181,950,1012,7.8,0,1103,183,157,687,25,1.93,1218,18,0
Haryana,8.27,1322,0,170,170,243,121,0,308,47,46,134,104,0.29,793.2,22,0
Haryana,8.17,3015,0,234,659,321,220,0,562,64,98,485,17,0.76,1809,23,0
Haryana,8.21,6980,0,255,1397,894,470,0,1665,115,335,875,45,2.4,4188,19,0
Haryana,8.89,1405,83,456,78,0,154,0,138,17,23,285,19,2.28,843,22,0
Haryana,8.58,1371,42,234,227,98,60,0,308,25,59,160,84,1.44,822.6,19,0
Haryana,8.33,486,21,138,64,0,8,0,117,25,13,38,41,0.84,291.6,20,1
Haryana,8.17,1130,0,170,206,161,5.5,0,318,47,49,124,24,1.18,678,23,1
Haryana,8.27,295,0,159,21,0,0,0,138,30,16,7.5,5.3,0.57,177,19,1
Haryana,7.87,1790,0,74,21,789,0,0,912,293,70,15,5,2.35,1074,22,1
Haryana,8.71,3110,94,541,489,216,103,0,615,30,132,387,150,0.91,1866,19,0
Haryana,8.32,1035,31,202,135,128,12,0,265,34,44,94,80,0.84,621,22,0
Haryana,8.04,352,0,181,21,0,1.3,0,159,47,10,8.1,1.8,0.73,211.2,15,1
Haryana,8.53,856,42,159,128,40,4.7,0,297,21,59,50,11,1.44,513.6,18,1
Haryana,7.78,2770,0,255,518,440,8.9,0,604,81,98,351,23,0.37,1662,25,0
Haryana,8.49,1284,42,191,234,152,3.1,0,329,21,67,128,94,0.24,770.4,20,0
Haryana,8.49,358,21,128,28,0,0,0,170,47,13,8,1.6,1.28,214.8,16,1
Haryana,8.01,7390,0,149,1163,1676,260,0,1899,306,276,830,100,2.19,4434,25,0
Haryana,8.87,1741,63,340,184,141,130,0,202,13,41,325,13,2.23,1044.6,20,0
Haryana,8.82,1545,52,340,177,162,14,0,329,21,67,218,21,1.78,927,16,0
